Model,FPR,TPR,AUC
Best Model (Stacking),0.0035565282812393133,0.059726027397260274,0.8396951170190871
Best Model (Stacking),0.003590725668558922,0.059726027397260274,0.8396951170190871
Best Model (Stacking),0.003590725668558922,0.06009132420091324,0.8396951170190871
Best Model (Stacking),0.0036078243622187263,0.06009132420091324,0.8396951170190871
Best Model (Stacking),0.0036078243622187263,0.06027397260273973,0.8396951170190871
Best Model (Stacking),0.003624923055878531,0.06027397260273973,0.8396951170190871
Best Model (Stacking),0.003624923055878531,0.06045662100456621,0.8396951170190871
Best Model (Stacking),0.003642021749538335,0.06045662100456621,0.8396951170190871
Best Model (Stacking),0.003642021749538335,0.06118721461187215,0.8396951170190871
Best Model (Stacking),0.0036591204431981397,0.06118721461187215,0.8396951170190871
Best Model (Stacking),0.0036591204431981397,0.06155251141552511,0.8396951170190871
Best Model (Stacking),0.0037104165241775527,0.06155251141552511,0.8396951170190871
Best Model (Stacking),0.0037104165241775527,0.062100456621004566,0.8396951170190871
Best Model (Stacking),0.0037275152178373573,0.062100456621004566,0.8396951170190871
Best Model (Stacking),0.0037275152178373573,0.06246575342465754,0.8396951170190871
Best Model (Stacking),0.0037788112988167703,0.06246575342465754,0.8396951170190871
Best Model (Stacking),0.0037788112988167703,0.06301369863013699,0.8396951170190871
Best Model (Stacking),0.003813008686136379,0.06301369863013699,0.8396951170190871
Best Model (Stacking),0.003813008686136379,0.06319634703196347,0.8396951170190871
Best Model (Stacking),0.003847206073455988,0.06319634703196347,0.8396951170190871
Best Model (Stacking),0.003847206073455988,0.06337899543378996,0.8396951170190871
Best Model (Stacking),0.0038814034607755968,0.06337899543378996,0.8396951170190871
Best Model (Stacking),0.0038814034607755968,0.06356164383561644,0.8396951170190871
Best Model (Stacking),0.00393269954175501,0.06356164383561644,0.8396951170190871
Best Model (Stacking),0.00393269954175501,0.06429223744292237,0.8396951170190871
Best Model (Stacking),0.003949798235414814,0.06429223744292237,0.8396951170190871
Best Model (Stacking),0.003949798235414814,0.06538812785388128,0.8396951170190871
Best Model (Stacking),0.003966896929074619,0.06538812785388128,0.8396951170190871
Best Model (Stacking),0.003966896929074619,0.06557077625570776,0.8396951170190871
Best Model (Stacking),0.003983995622734423,0.06557077625570776,0.8396951170190871
Best Model (Stacking),0.003983995622734423,0.06593607305936074,0.8396951170190871
Best Model (Stacking),0.004001094316394228,0.06593607305936074,0.8396951170190871
Best Model (Stacking),0.004001094316394228,0.06703196347031963,0.8396951170190871
Best Model (Stacking),0.004018193010054032,0.06703196347031963,0.8396951170190871
Best Model (Stacking),0.004018193010054032,0.06721461187214611,0.8396951170190871
Best Model (Stacking),0.004035291703713836,0.06721461187214611,0.8396951170190871
Best Model (Stacking),0.004035291703713836,0.06757990867579909,0.8396951170190871
Best Model (Stacking),0.00405239039737364,0.06757990867579909,0.8396951170190871
Best Model (Stacking),0.00405239039737364,0.06794520547945206,0.8396951170190871
Best Model (Stacking),0.004120785172012858,0.06794520547945206,0.8396951170190871
Best Model (Stacking),0.004120785172012858,0.06831050228310502,0.8396951170190871
Best Model (Stacking),0.004137883865672662,0.06831050228310502,0.8396951170190871
Best Model (Stacking),0.004137883865672662,0.06867579908675799,0.8396951170190871
Best Model (Stacking),0.004154982559332467,0.06867579908675799,0.8396951170190871
Best Model (Stacking),0.004154982559332467,0.06885844748858448,0.8396951170190871
